0.0299373 0.68481542E+02
0.0297902 0.68710158E+02
0.0296441 0.68938910E+02
0.0294992 0.69167797E+02
0.0293554 0.69396820E+02
0.0292126 0.69625987E+02
0.0290709 0.69855276E+02
0.0289303 0.70084715E+02
0.0287907 0.70314281E+02
0.0286522 0.70543990E+02
0.0285146 0.70773829E+02
0.0283781 0.71003791E+02
0.0282427 0.71233891E+02
0.0281082 0.71464131E+02
0.0279747 0.71694491E+02
0.0278421 0.71924983E+02
0.0277106 0.72155602E+02
0.02758 0.72386362E+02
0.0274503 0.72617236E+02
0.0273217 0.72848236E+02
0.0271939 0.73079377E+02
0.027067 0.73310634E+02
0.0269411 0.73542037E+02
0.0268161 0.73773533E+02
0.0266919 0.74005179E+02
0.0265687 0.74236953E+02
0.0264463 0.74468841E+02
0.0263249 0.74700830E+02
0.0262042 0.74932973E+02
0.0260845 0.75165233E+02
0.0259656 0.75397601E+02
0.0258475 0.75630101E+02
0.0257302 0.75862732E+02
0.0256138 0.76095457E+02
0.0254982 0.76328335E+02
0.0253834 0.76561298E+02
0.0252694 0.76794401E+02
0.0251562 0.77027616E+02
0.0250438 0.77260943E+02
0.0249321 0.77494393E+02
0.0248213 0.77727948E+02
0.0247112 0.77961621E+02
