Time (Gyr)  SFR (Msun/yr)
1.357499464285714197e+01 1.946000000000000139e-04
1.306552928571428751e+01 1.332000000000000122e-04
1.257615482142857211e+01 9.020000000000001053e-05
1.208678035714285670e+01 9.180000000000000876e-05
1.157731500000000047e+01 1.153000000000000108e-04
1.109463749999999926e+01 1.155000000000000021e-04
1.060526303571428564e+01 1.531000000000000080e-04
1.011588857142857201e+01 1.163000000000000080e-04
9.613120178571428198e+00 1.144000000000000024e-04
9.123745714285714570e+00 9.950000000000000619e-05
8.641068214285715143e+00 8.150000000000000235e-05
8.131602857142857133e+00 5.800000000000000034e-05
7.642228392857142616e+00 4.709999999999999967e-05
7.159550892857142301e+00 5.610000000000000837e-05
6.663479464285714471e+00 1.139000000000000038e-04
6.167408035714285752e+00 1.379000000000000180e-04
5.678033571428569459e+00 1.992000000000000172e-04
5.195356071428571809e+00 2.162999999999999992e-04
4.685890714285713798e+00 1.856000000000000119e-04
4.196516250000000170e+00 1.488000000000000119e-04
3.707141785714284765e+00 1.252999999999999828e-04
3.217767321428571137e+00 8.040000000000000271e-05
2.714998928571429104e+00 5.890000000000000189e-05
2.232321428571427901e+00 2.830000000000000010e-05
1.856795357142857483e+00 2.099999999999999884e-05
1.615704642857140882e+00 2.400000000000000061e-05
1.367668928571427855e+00 2.020000000000000311e-05
1.126330178571427254e+00 9.500000000000000523e-06
8.782944642857142270e-01 5.399999999999999967e-06
6.302587499999994236e-01 3.800000000000000040e-06
3.755260714285721946e-01 1.010000000000000155e-05
0.000000000000000000e+00 0.000000000000000000e+00
